Factor Name,Mean,Median,Mode,Variance,Covariance,Correlation
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),16.152615384615387,16.405,16.405,5.597652427884612,7.738608823971955,0.5212879123918941
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",6.981538461538463,7.075,7.075,1.5527304086538465,3.128324612862893,0.40011193585581234
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",24.902153846153844,25.26,25.26,11.105273413461534,10.873841104161063,0.5200391975645206
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",17.65353846153846,17.8825,17.8825,5.472471268028848,7.2545220643985875,0.49423646599964954
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",11.480615384615383,11.5975,11.5975,2.3335164122596153,4.021071680620913,0.4195213908354368
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",11.156307692307694,11.2525,11.2525,2.101924825721154,3.494405310142767,0.3841337018337254
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",19.380923076923075,19.59,19.59,4.486658509615385,6.593433062054493,0.49609839088125746
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",29.39507692307692,29.745,29.745,9.488664447115386,10.383945605839719,0.5372514358183671
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",13.449846153846153,13.535,13.535,1.3147593509615387,2.92268810522302,0.4062347422012293
"Automated teller machines (ATMs) (per 100,000 adults)",6.32348717948718,6.281666666666667,6.281666666666667,3.6318891252670937,2.4518632631689066,0.2050442902798759
Average transaction cost of sending remittances from a specific country (%),7.341308800000002,7.29976675,7.29976675,0.5168928702240512,-1.1301497761841277,-0.2505263765888432
Average transaction cost of sending remittances to a specific country (%),3.884849894017093,3.77367567361111,3.77367567361111,1.100083230299072,-2.7249641246987015,-0.4140623489265918
Bank capital to assets ratio (%),6.179383313761166,6.088436178038682,6.088436178038682,0.6222999933271156,-2.5765638438491787,-0.5205455458389745
Bank liquid reserves to bank assets ratio (%),13.158860044520786,13.161342232716423,13.161342232716423,3.4833298500908336,-2.9539380488240266,-0.25224455882744173
Bank nonperforming loans to total gross loans (%),9.595931846107726,9.527118281203162,9.527118281203162,0.9220723215667634,-2.1829944322315487,-0.36231628932572657
"Borrowers from commercial banks (per 1,000 adults)",24.976183214454764,25.13206107718062,25.13206107718062,2.6499768449261283,4.535092872353305,0.4439998979907095
Broad money (% of GDP),42.71170953019617,43.4898733155814,16.0,39.36992166177264,39.36992166177265,1.0
Broad money (current LCU),4792335717314.694,398453100000.0,17.0,7.304343491816584e+25,24586484727162.35,0.4584833516127711
Broad money growth (annual %),14.716844627742546,14.66554532505102,-3.96718146718147,49.90568961996607,0.7478860290940609,0.016872448628046054
Broad money to total reserves ratio,10.216238715038962,8.85938186742747,3.38471255102604,24.800433612463305,3.150071743102713,0.10081114155949465
Claims on central government (annual growth as % of broad money),7.913739001741379,7.20039302073888,-4.4993961948084,38.998342945041685,1.7602246992247834,0.04492238011010141
"Claims on central government, etc. (% GDP)",22.40703070066747,22.8572400601822,8.2960844310305,37.945893254067244,19.61501839600479,0.507485986257676
Claims on other sectors of the domestic economy (% of GDP),22.0,22.0,22.0,0.0,,
Claims on other sectors of the domestic economy (annual growth as % of broad money),6.421511706569346,6.162472826984493,6.162472826984493,12.291228064587079,-10.494176758022805,-0.4770550099161504
Claims on private sector (annual growth as % of broad money),7.726470175994657,7.6474105451774,-0.988804740096588,26.04902688746961,-13.281589146575127,-0.41473626698633204
"Commercial bank branches (per 100,000 adults)",9.244675227846141,8.998498278281238,8.998498278281238,4.47081209080473,-5.643935733465607,-0.4254089045245688
Consumer price index (2010 = 100),54.4472427083927,22.0313625505404,2.07206477777001,5219.971657856701,185.96795649312864,0.4102246669091034
DEC alternative conversion factor (LCU per US$),45.96991356923076,24.780467,4.762,2562.231847300277,115.71735783572589,0.36434014017946753
Deposit interest rate (%),6.50068001044523,6.164753135608437,6.164753135608437,8.503357693865242,-7.983355062852895,-0.43632283835792673
