Factor Name,Mean,Median,Mode,Variance,Covariance,Correlation
"Adolescent fertility rate (births per 1,000 women ages 15-19)",92.79790476190476,99.88149999999999,42.298,1113.002650340136,-9.673088435374138,-0.105293901816979
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,,,,,
Adults (ages 15-49) newly infected with HIV,,,,,,
Age dependency ratio (% of working-age population),83.48680284736878,86.29324529300956,70.1673862519405,45.11473612085515,-4.814309033418834,-0.26029205613820733
"Age dependency ratio, old (% of working-age population)",6.132438966331557,6.45952189323219,4.28658147903881,0.5257213501104021,0.1377325425109859,0.06898345112875208
"Age dependency ratio, young (% of working-age population)",77.35436388103722,80.22057880298405,63.0267011224958,47.0220019895869,-4.952041575929825,-0.26225264969667555
Antiretroviral therapy coverage (% of people living with HIV),4.478260869565219,4.478260869565218,4.478260869565218,5.392684610075914,3.535147392290249,0.552829456242748
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),5.608695652173912,5.608695652173913,5.608695652173913,11.610766045548655,5.947845804988661,0.6338922241245952
ARI treatment (% of children under 5 taken to a health provider),68.16666666666667,68.16666666666667,68.16666666666667,0.37280423280423153,0.0,0.0
"Birth rate, crude (per 1,000 people)",38.76861904761905,42.18,27.233,37.42624528344671,-2.4877301587301575,-0.14767306936482946
Births attended by skilled health staff (% of total),42.476470588235294,42.476470588235294,42.476470588235294,90.73985060690943,6.2245965052687735,0.23730032606387874
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",39.11093750005595,39.11093750005595,39.11093750005595,2.04369466828557,-2.9885030771277807,-0.7591574559337413
"Cause of death, by injury (% of total)",7.059827261785528,7.059827261785527,7.059827261785527,0.022900205117186632,0.18190330159258217,0.4365229242646373
"Cause of death, by non-communicable diseases (% of total)",53.829235456000724,53.82923545600072,53.82923545600072,1.784521134488898,2.8065997711911153,0.7629670768832554
Children (0-14) living with HIV,1398.181818181818,1398.1818181818182,1398.1818181818182,1986014.1414141413,1807.4376417233557,0.4657558460211561
Children (ages 0-14) newly infected with HIV,,,,,,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),5.3,5.3,5.3,0.3622222222222221,0.0,0.0
"Community health workers (per 1,000 people)",0.04766666666666661,0.0476666666666666,0.0476666666666666,7.017989417989417e-05,0.0031080876795162335,0.13473271695186323
Completeness of birth registration (%),34.13333333333333,34.13333333333333,34.13333333333333,1.9382010582010585,0.0,0.0
"Completeness of birth registration, female (%)",33.93333333333334,33.93333333333334,33.93333333333334,1.8261375661375656,0.0,0.0
"Completeness of birth registration, male (%)",34.333333333333336,34.333333333333336,34.333333333333336,2.0585185185185186,0.0,0.0
"Completeness of birth registration, rural (%)",26.866666666666667,26.866666666666664,26.866666666666664,1.0950264550264552,8.013825068911866e-31,2.7810814782342445e-31
"Completeness of birth registration, urban (%)",50.60000000000001,50.6,50.6,8.068888888888885,1.602765013782373e-30,2.0490339140753887e-31
Completeness of death registration with cause-of-death information (%),,,,,,
"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,
"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,
Consumption of iodized salt (% of households),68.60000000000001,68.6,68.6,2.0515392176414376e-28,3.205530027564746e-30,8.1272963899082e-17
