Factor Name,Mean,Median,Mode,Variance,Covariance,Correlation
Adequacy of social insurance programs (% of total welfare of beneficiary households),29.434852103485063,29.43485210348506,29.43485210348506,3.404395866370707,0.7307394458945149,0.28663178070447404
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),21.31613103108422,21.31613103108422,21.31613103108422,0.7531549764429508,0.13719043317173896,0.1144098641236343
Adequacy of social safety net programs (% of total welfare of beneficiary households),9.695760380067554,9.695760380067554,9.695760380067554,1.8220342242577894,-0.5464469336687863,-0.29298915526397207
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),,,,,,
"Average working hours of children, study and work, ages 7-14 (hours per week)",24.900000000000002,24.9,24.9,1.2822120110258985e-29,0.0,0.0
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",21.699999999999996,21.7,21.7,1.2822120110258985e-29,0.0,0.0
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",25.699999999999996,25.7,25.7,1.2822120110258985e-29,0.0,0.0
"Average working hours of children, working only, ages 7-14 (hours per week)",31.800000000000004,31.8,31.8,1.2822120110258985e-29,0.0,0.0
"Average working hours of children, working only, female, ages 7-14 (hours per week)",22.699999999999996,22.7,22.7,1.2822120110258985e-29,0.0,0.0
"Average working hours of children, working only, male, ages 7-14 (hours per week)",41.9,41.9,41.9,0.0,0.0,
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),2.6344593628142645,2.634459362814264,2.634459362814264,0.06659561822636816,-0.10154593763406307,-0.2847879071368401
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),5.129457971899845,5.1294579718998445,5.1294579718998445,0.12675780104608458,-0.013675141020369486,-0.027798814961246157
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),19.67899811119124,19.67899811119124,19.67899811119124,11.338905694589567,1.3198254859563905,0.2836695738170832
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),,,,,,
Child employment in agriculture (% of economically active children ages 7-14),75.71000000000002,75.71000000000001,75.71000000000001,0.00366984126984119,0.0020130158730161402,0.02404946262644481
"Child employment in agriculture, female (% of female economically active children ages 7-14)",80.105,80.105,80.105,0.08382936507936507,0.009621031746031747,0.02404946262644136
"Child employment in agriculture, male (% of male economically active children ages 7-14)",71.63499999999999,71.63499999999999,71.63499999999999,0.02657857142857138,-0.005417380952381236,-0.024049462626442634
Child employment in manufacturing (% of economically active children ages 7-14),7.255000000000001,7.255,7.255,0.009086507936507941,-0.0031675396825396832,-0.024049462626441354
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",5.829999999999999,5.83,5.83,0.07431428571428574,-0.009058571428571426,-0.024049462626441344
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",8.594999999999999,8.594999999999999,8.594999999999999,0.005207142857142863,0.0023978571428571074,0.024049462626440983
Child employment in services (% of economically active children ages 7-14),14.5,14.5,14.5,0.00025714285714285634,0.000532857142857142,0.024049462626441354
"Child employment in services, female (% of female economically active children ages 7-14)",12.200000000000001,12.2,12.2,0.002314285714285722,-0.001598571428571468,-0.024049462626441902
"Child employment in services, male (% of male economically active children ages 7-14)",16.625,16.625,16.625,0.006572222222222173,0.002693888888888878,0.02404946262644135
"Children in employment, female (% of female children ages 7-14)",14.849999999999998,14.85,14.85,0.05785714285714282,-0.007992857142857145,-0.024049462626441365
"Children in employment, male (% of male children ages 7-14)",14.049999999999999,14.05,14.05,0.07626984126984125,-0.009176984126984086,-0.024049462626441243
"Children in employment, self-employed (% of children in employment, ages 7-14)",10.49,10.49,10.49,0.0,0.0,
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",14.299999999999999,14.3,14.3,3.205530027564746e-30,0.0,0.0
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",6.93,6.93,6.93,0.0,0.0,
"Children in employment, study and work (% of children in employment, ages 7-14)",11.826801606871651,11.82680160687165,11.82680160687165,0.016769542087340075,0.004303126974017865,0.024049462626441365
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",4.83639987746763,4.83639987746763,4.83639987746763,0.0,0.0,
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",19.7856522052026,19.7856522052026,19.7856522052026,0.0,0.0,
"Children in employment, total (% of children ages 7-14)",14.450000000000001,14.45,14.45,0.06674603174603176,-0.008584920634920676,-0.024049462626441465
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",75.08,75.08,75.08,0.0,0.0,
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",78.39,78.39,78.39,0.0,0.0,
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",71.98,71.98,71.98,0.0,0.0,
"Children in employment, wage workers (% of children in employment, ages 7-14)",14.379999999999999,14.38,14.38,3.205530027564746e-30,0.0,0.0
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",7.3100000000000005,7.31,7.31,8.013825068911866e-31,0.0,0.0
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",21.02,21.02,21.02,0.0,0.0,
"Children in employment, work only (% of children in employment, ages 7-14)",88.17319839312836,88.17319839312836,88.17319839312836,0.016769542087340234,-0.004303126974017593,-0.024049462626439727
"Children in employment, work only, female (% of female children in employment, ages 7-14)",95.16360012253242,95.1636001225324,95.1636001225324,2.0515392176414376e-28,0.0,0.0
"Children in employment, work only, male (% of male children in employment, ages 7-14)",80.2143477947974,80.2143477947974,80.2143477947974,0.0,0.0,
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",56.39901237056571,56.39901237056571,56.39901237056571,14.89951559822961,-1.0251245691633113,-0.1922084096150758
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",14.836331154584673,14.836331154584675,14.836331154584675,2.7398009410275153,-2.057034688370322,-0.8994228725870425
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",22.471113613838902,22.471113613838902,22.471113613838902,2.0858393856491375,-0.8677404450879779,-0.4348417409678284
Coverage of social insurance programs (% of population),6.585768897252101,6.5857688972521,6.5857688972521,0.03365376308228579,-0.06174852753497705,-0.24360803392657765
Coverage of social insurance programs in 2nd quintile (% of population),3.9683299269961827,3.9683299269961823,3.9683299269961823,0.09892309197528595,-0.0996659870620989,-0.22934007411721444
Coverage of social insurance programs in 3rd quintile (% of population),5.95073811464537,5.95073811464537,5.95073811464537,0.02936593360770093,-0.07048849178014073,-0.2976995165593746
Coverage of social insurance programs in 4th quintile (% of population),8.597819616879788,8.597819616879788,8.597819616879788,0.1402311563683329,-0.055685512735061005,-0.10762217945224072
Coverage of social insurance programs in poorest quintile (% of population),2.1089144685506365,2.108914468550636,2.108914468550636,0.021437277444850307,-0.056831074537009675,-0.28092013644926195
Coverage of social insurance programs in richest quintile (% of population),12.30029106564038,12.30029106564038,12.30029106564038,0.00688612513984051,-0.025990492097525103,-0.22667773501948402
Coverage of social protection and labor programs (% of population),16.60345606401537,16.603456064015365,16.603456064015365,1.4060197060547253,0.30660288184827206,0.18713815622184918
Coverage of social safety net programs (% of population),9.334303074856512,9.334303074856512,9.334303074856512,0.9411269053372094,0.18770471775688852,0.14003381191061373
Coverage of social safety net programs in 2nd quintile (% of population),11.67250658342465,11.67250658342465,11.67250658342465,1.7069985320169694,0.3691293983486667,0.20447672397321595
Coverage of social safety net programs in 3rd quintile (% of population),9.350444273345168,9.350444273345168,9.350444273345168,0.9802153071660049,0.156105224111089,0.1141138911262769
Coverage of social safety net programs in 4th quintile (% of population),6.381428045498601,6.3814280454986,6.3814280454986,0.7461569628533886,-0.13969098531376778,-0.1170402120961518
Coverage of social safety net programs in poorest quintile (% of population),15.200579559543012,15.200579559543012,15.200579559543012,4.534238080001144,0.7943352283313417,0.2699811737935419
Coverage of social safety net programs in richest quintile (% of population),4.06837321749576,4.068373217495759,4.068373217495759,0.6783882960894442,-0.2411811966544392,-0.21192690211871498
Coverage of unemployment benefits and ALMP (% of population),6.928532075323131,6.92853207532313,6.92853207532313,3.205530027564746e-30,0.0,0.0
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),6.02370221968541,6.02370221968541,6.02370221968541,0.0,0.0,
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),6.71292734767838,6.71292734767838,6.71292734767838,0.0,0.0,
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),8.29899121958455,8.29899121958455,8.29899121958455,0.0,0.0,
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),4.870065443699871,4.87006544369987,4.87006544369987,8.013825068911866e-31,0.0,0.0
Coverage of unemployment benefits and ALMP in richest quintile (% of population),8.73658110986864,8.73658110986864,8.73658110986864,0.0,0.0,
"Employers, female (% of female employment) (modeled ILO estimate)",0.14753892899195314,0.1475389289919531,0.1475389289919531,0.0034626884659681055,-0.0376098665639188,-0.46256940006009867
"Employers, male (% of male employment) (modeled ILO estimate)",1.3478753067075089,1.3478753067075089,1.3478753067075089,0.08249996111106571,0.31558018553459655,0.7951785798363327
"Employers, total (% of total employment) (modeled ILO estimate)",1.1154242526947509,1.1154242526947509,1.1154242526947509,0.04135588450818737,0.2187150758969497,0.778380379616744
Employment in agriculture (% of total employment) (modeled ILO estimate),42.32989702069441,42.3298970206944,42.3298970206944,4.113770826145947,-2.487589583202272,-0.8876474300635896
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",69.01155536336114,69.01155536336114,69.01155536336114,6.2961833874559385,0.15178007285493092,0.0437781988775592
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",36.107785045060794,36.10778504506079,36.10778504506079,10.916236400949328,-4.047799818977858,-0.8866748253063935
Employment in industry (% of total employment) (modeled ILO estimate),22.182714223735328,22.182714223735328,22.182714223735328,1.5276150852223158,1.6093418573217517,0.9423736957556814
"Employment in industry, female (% of female employment) (modeled ILO estimate)",14.248296245354636,14.248296245354636,14.248296245354636,1.059663898584355,-0.04112680929788257,-0.028914971293011342
"Employment in industry, male (% of male employment) (modeled ILO estimate)",24.06827401174268,24.06827401174268,24.06827401174268,3.1380745078163383,2.2934360600042285,0.9369940405726026
Employment in services (% of total employment) (modeled ILO estimate),35.487389382895294,35.487389382895294,35.487389382895294,1.3276194655894402,0.8782475210824443,0.5516478684241121
"Employment in services, female (% of female employment) (modeled ILO estimate)",16.74014837408498,16.74014837408498,16.74014837408498,3.166763104970128,-0.11065276494651792,-0.0450024646686942
"Employment in services, male (% of male employment) (modeled ILO estimate)",39.82394092912193,39.82394092912193,39.82394092912193,3.251191336359192,1.7543640738370883,0.7041744742265594
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",18.660878787878787,18.660878787878787,18.660878787878787,5.926633738335737,2.2150449860509855,0.658506890723568
"Employment to population ratio, 15+, female (%) (national estimate)",16.998,16.998,16.998,8.950826444444443,1.2823126955266955,0.3102017127089938
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",79.00833333333333,79.00833333333333,79.00833333333333,3.3620902751322768,-2.0738086719576723,-0.8185511414592799
"Employment to population ratio, 15+, male (%) (national estimate)",79.94106666666666,79.94106666666667,79.94106666666667,8.217342442328045,-0.9198911859227191,-0.23224832056721245
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",49.68275757575758,49.68275757575758,49.68275757575758,0.19006454064454084,-0.1701818691678699,-0.2825169809692325
"Employment to population ratio, 15+, total (%) (national estimate)",49.5636,49.5636,49.5636,9.298948406349208,0.07205496257816256,0.017101286993742627
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",16.224909090909087,16.224909090909087,16.224909090909087,4.196686805194806,1.6941239696969697,0.5985131888459604
"Employment to population ratio, ages 15-24, female (%) (national estimate)",17.688,17.688,17.688,0.38538831746031754,0.1509590158730158,0.17599146264227208
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",62.13542424242424,62.13542424242424,62.13542424242424,14.222621556517554,-4.088417752765752,-0.7845981066263248
"Employment to population ratio, ages 15-24, male (%) (national estimate)",59.07173333333333,59.07173333333333,59.07173333333333,2.689242268783068,-1.0806319015873012,-0.476919013982284
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",39.845272727272736,39.84527272727273,39.84527272727273,1.7266015959595957,-1.2390220202020203,-0.6824404698369423
"Employment to population ratio, ages 15-24, total (%) (national estimate)",38.736666666666665,38.736666666666665,38.736666666666665,0.8656904021164022,-0.5251033015873016,-0.40845598601337335
Female share of employment in senior and middle management (%),5.869285714285714,5.869285714285714,5.869285714285714,0.3486082675736961,0.014229927437641789,0.0174427783315067
GDP per person employed (constant 2021 PPP $),14204.403574965185,14204.403574965185,14204.403574965185,1777563.502041863,1643.938973685013,0.8923905174878224
International migrant stock (% of population),3.015623262286188,3.0156232622861885,3.0156232622861885,0.16137926872379232,0.0046517126624989165,0.008380517287485297
"International migrant stock, total",4819207.0,4819207.0,4819207.0,222466520851.2381,55725.22482299182,0.08550693025589236
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",16.730382352941177,16.730382352941177,16.730382352941177,6.8871866988795505,2.5870605396825392,0.7134564707471227
"Labor force participation rate for ages 15-24, female (%) (national estimate)",13.762051282051283,13.762051282051283,13.762051282051283,13.063606919006919,0.9859890019486689,0.19743417808555716
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",64.52438235294119,64.52438235294119,64.52438235294119,7.837447556022409,-2.0258711991341993,-0.523728640045612
"Labor force participation rate for ages 15-24, male (%) (national estimate)",66.66161538461539,66.66161538461539,66.66161538461539,44.584238781440796,-0.7568851848891853,-0.08203914848038527
