Factor Name,Mean,Median,Mode,Variance,Covariance,Correlation
"Adjusted net enrollment rate, primary (% of primary school age children)",63.83925470588235,63.83925470588235,63.83925470588235,3.204894769955929,3.2048947699559283,1.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",57.38968882352941,57.38968882352941,57.38968882352941,6.156473781326609,4.207223972690382,0.9471586461501526
"Adjusted net enrollment rate, primary, male (% of primary school age children)",69.84263352941177,69.84263352941177,69.84263352941177,2.142974777891877,2.2381302203145648,0.8540237223941098
Adolescents out of school (% of lower secondary school age),27.69137382507325,27.69137382507325,27.69137382507325,0.00046830461776295495,0.0,0.0
"Adolescents out of school, female (% of female lower secondary school age)",34.54827880859375,34.54827880859375,34.54827880859375,0.0007338694611841192,0.0,0.0
"Adolescents out of school, male (% of male lower secondary school age)",21.172607421875,21.172607421875,21.172607421875,0.004394082825572359,0.0,0.0
Children out of school (% of primary school age),25.935951232910153,25.93595123291015,25.93595123291015,0.018868897580041358,-6.411060055129492e-30,-2.607052004240329e-29
"Children out of school, female (% of female primary school age)",30.966864585876458,30.96686458587645,30.96686458587645,0.015073934801428414,-1.2822120110258985e-29,-5.833640167782832e-29
"Children out of school, male (% of male primary school age)",21.1251316070557,21.1251316070557,21.1251316070557,0.023019673348965833,0.0,0.0
"Children out of school, primary",7471806.0,7471806.0,7471806.0,1440109910.1269841,0.0,0.0
"Children out of school, primary, female",4360819.5,4360819.5,4360819.5,260896456.1984127,0.0,0.0
"Children out of school, primary, male",3110986.5,3110986.5,3110986.5,475087001.78571427,0.0,0.0
"Compulsory education, duration (years)",12.0,12.0,12.0,0.0,0.0,
"Current education expenditure, primary (% of total expenditure in primary public institutions)",99.3742218017578,99.3742218017578,99.3742218017578,0.0,0.0,
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",99.5770263671875,99.5770263671875,99.5770263671875,0.0,0.0,
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",71.5224227905273,71.5224227905273,71.5224227905273,0.0,0.0,
"Current education expenditure, total (% of total expenditure in public institutions)",71.57956027984618,71.57956027984618,71.57956027984618,2.1612200510250066,-0.4298134004060041,-0.16331405800353407
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",4.945024146753202,4.945024146753202,4.945024146753202,3.1105248297123005,0.186799128948536,0.05916312744635864
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",8.59097764071297,8.59097764071297,8.59097764071297,2.7786853331329326,-0.05806827923710878,-0.019458635594409537
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",6.8083484944175305,6.8083484944175305,6.8083484944175305,2.6584015116978197,0.051672957707409664,0.017702970514747413
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",22.48489831475651,22.48489831475651,22.48489831475651,48.16722919277562,0.8607508914409586,0.0692779075308511
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",40.67626594094669,40.67626594094669,40.67626594094669,44.02441376144715,-0.13788825047091674,-0.011608432578200474
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",31.852526272044457,31.85252627204445,31.85252627204445,43.0800443964401,0.3266891668144667,0.027802879343262563
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",6.1801891644795734,6.180189164479573,6.180189164479573,8.336950071314469,0.28591506397975064,0.055312915463590774
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",9.936319526036584,9.936319526036584,9.936319526036584,5.9640975126618905,0.009498095109380914,0.0021724873640768068
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",8.088558642069499,8.088558642069499,8.088558642069499,6.81387328238141,0.1363853053352516,0.029185266729528876
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",35.184613555669785,35.184613555669785,35.184613555669785,80.81878106211295,0.8378034583361568,0.05205699725227842
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",58.62099134922028,58.62099134922028,58.62099134922028,46.27607786763824,0.008258219413580287,0.0006781117328785146
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",47.21122205257416,47.21122205257415,47.21122205257415,58.885466598888634,0.37176744658300004,0.02706203248522351
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",9.958470185597749,9.95847018559775,9.95847018559775,1.1107851473678145,0.3787212357757866,0.20072327692880157
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",12.042206446329768,12.042206446329766,12.042206446329766,0.3459207228829568,0.20287128171955146,0.1926750125408186
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",10.95730813344321,10.957308133443211,10.957308133443211,0.6522468536575996,0.2862984304143856,0.19801864458019555
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",16.657466694712646,16.657466694712646,16.657466694712646,28.237678331912463,0.20174046472145482,0.021206628888355037
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",28.307248771190636,28.30724877119064,28.30724877119064,30.73666303004639,-0.9934516406773295,-0.10009479309500292
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",22.639174759387963,22.639174759387963,22.639174759387963,27.271771232988407,-0.4203943839738145,-0.044966941144034475
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",1.5643561780452728,1.5643561780452728,1.5643561780452728,0.31087336096109897,-0.019209422341067522,-0.019244900216569952
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",3.1711242740804506,3.171124274080451,3.171124274080451,0.17387067847781185,-0.05313807787347674,-0.07118455579735901
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",4.118307525461372,4.118307525461372,4.118307525461372,1.4828456978060294,0.09172330253108867,0.042075066913980795
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",0.0353858801112933,0.0353858801112933,0.0353858801112933,0.000347675420381913,0.002982162599189093,0.08933824932734187
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",0.3696411460299384,0.3696411460299384,0.3696411460299384,0.031378947991925074,0.029827308887436534,0.09405632261877372
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.20452760684896593,0.2045276068489659,0.2045276068489659,0.008609441489862474,0.01682209112652455,0.10127111803115536
Expenditure on primary education (% of government expenditure on education),36.337759310344836,36.33775931034483,36.33775931034483,22.079147036536288,-0.049256687641857436,-0.005855542945407731
Expenditure on secondary education (% of government expenditure on education),30.90378689655173,30.90378689655173,30.90378689655173,6.9548846184923905,-0.4880203568967544,-0.1033679935274827
Expenditure on tertiary education (% of government expenditure on education),18.74765225806452,18.74765225806452,18.74765225806452,7.059148188037175,0.9294166979359186,0.19540129343148827
Female primary school age children out-of-school (%),37.9058303833007,37.9058303833007,37.9058303833007,0.0,0.0,
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,68.0,68.0,68.0,0.0,0.0,
"Government expenditure on education, total (% of GDP)",2.194954206546148,2.194954206546148,2.194954206546148,0.09309934030590666,-0.00550652375714084,-0.010080854077016158
"Government expenditure on education, total (% of government expenditure)",11.278456034483735,11.278456034483735,11.278456034483735,1.6590813774823538,0.12421015348485233,0.05386620343602626
"Government expenditure per student, primary (% of GDP per capita)",8.344716666666669,8.344716666666669,8.344716666666669,0.0015674516074074124,0.01825263528941795,0.2575263177798114
"Government expenditure per student, secondary (% of GDP per capita)",13.614490000000002,13.614490000000002,13.614490000000002,0.2130928893365081,-0.23284627835714314,-0.28175908914367914
"Government expenditure per student, tertiary (% of GDP per capita)",66.65315599999998,66.653156,66.653156,4.988409327036825,0.5643787624469848,0.141150601899472
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",96.62474,96.62474,96.62474,7.594416168073011,1.2698935762730152,0.25740278583748755
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",111.29104428571428,111.29104428571428,111.29104428571428,12.493175716754646,1.401782236023811,0.22153239399299163
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",104.23963,104.23963,104.23963,9.558841960161912,1.336756911390476,0.24151433338215883
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),79.5432510375976,79.5432510375976,79.5432510375976,0.0,0.0,
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),80.1298675537109,80.1298675537109,80.1298675537109,0.0,0.0,
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),78.5794677734375,78.5794677734375,78.5794677734375,0.0,0.0,
"Literacy rate, adult female (% of females ages 15 and above)",39.06666666666666,39.06666666666667,39.06666666666667,14.17354497354497,0.6437158730158752,0.0955098335141619
"Literacy rate, adult male (% of males ages 15 and above)",65.2,65.2,65.2,18.831746031746032,0.7291266946778739,0.09385357441210845
"Literacy rate, adult total (% of people ages 15 and above)",52.66666666666665,52.66666666666666,52.66666666666666,15.513227513227513,0.668282128851546,0.09477676465145202
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",1.0,1.0,1.0,0.0,0.0,
"Literacy rate, youth female (% of females ages 15-24)",58.13333333333333,58.13333333333333,58.13333333333333,28.186243386243383,1.0023807376283893,0.10546472543106042
"Literacy rate, youth male (% of males ages 15-24)",75.93333333333334,75.93333333333334,75.93333333333334,18.87195767195767,0.7699608496732051,0.09900412253161035
"Literacy rate, youth total (% of people ages 15-24)",67.46666666666667,67.46666666666667,67.46666666666667,23.170370370370375,0.8438392156862778,0.09792336507430709
"Lower secondary completion rate, female (% of relevant age group)",34.37828862667084,34.37828862667084,34.37828862667084,9.001171250531053,-0.3073852999524508,-0.05723038863160945
"Lower secondary completion rate, male (% of relevant age group)",42.17545795440674,42.17545795440674,42.17545795440674,6.829048229310976,-0.23729959723231295,-0.050723594727552744
"Lower secondary completion rate, total (% of relevant age group)",38.39978539943695,38.399785399436944,38.399785399436944,7.814905364106856,-0.27077370112613564,-0.0541050412441413
Lower secondary school starting age (years),10.0,10.0,10.0,0.0,0.0,
Male primary school age children out-of-school (%),26.1361083984375,26.1361083984375,26.1361083984375,0.0,0.0,
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,71.0,71.0,71.0,0.0,0.0,
Net intake rate in grade 1 (% of official school-age population),86.867345,86.867345,86.867345,1.1722187630428593,0.1816757380134925,0.09373153116934901
"Net intake rate in grade 1, female (% of official school-age population)",80.67717500000002,80.677175,80.677175,1.1680316129285717,0.1929996648595235,0.0997521739082908
"Net intake rate in grade 1, male (% of official school-age population)",92.63084500000001,92.630845,92.630845,1.1839877423507947,0.170919958770635,0.08774296159191862
"Over-age students, primary (% of enrollment)",7.037228666666668,7.037228666666668,7.037228666666668,32.425486838539264,2.9243994613667748,0.28687093927077384
"Over-age students, primary, female (% of female enrollment)",9.63624909090909,9.63624909090909,9.63624909090909,28.373003944153822,1.95460231087576,0.20497404019670432
"Over-age students, primary, male (% of male enrollment)",7.514924285714285,7.514924285714286,7.514924285714286,31.374417667865764,1.1952652247600928,0.11919816239052658
"Persistence to grade 5, female (% of cohort)",65.11947708129884,65.11947708129884,65.11947708129884,9.193324748230715,0.03284977928416646,0.006051865506575062
"Persistence to grade 5, male (% of cohort)",66.81648139953613,66.81648139953613,66.81648139953613,12.375446849174676,-0.19963837083138117,-0.03169981190436107
"Persistence to grade 5, total (% of cohort)",66.00593376159668,66.00593376159668,66.00593376159668,9.864433771980202,-0.10638024715877685,-0.01891986473371553
"Persistence to last grade of primary, female (% of cohort)",65.11947708129884,65.11947708129884,65.11947708129884,9.193324748230715,0.03284977928416646,0.006051865506575062
"Persistence to last grade of primary, male (% of cohort)",66.81648139953613,66.81648139953613,66.81648139953613,12.375446849174676,-0.19963837083138117,-0.03169981190436107
"Persistence to last grade of primary, total (% of cohort)",66.00593376159668,66.00593376159668,66.00593376159668,9.864433771980202,-0.10638024715877685,-0.01891986473371553
"Preprimary education, duration (years)",3.230769230769231,3.230769230769231,3.230769230769231,0.39072039072039066,-0.24715163398692813,-0.22086330190050565
"Primary completion rate, female (% of relevant age group)",51.62041447957357,51.62041447957357,51.62041447957357,7.468590833061209,-0.06336696493920414,-0.012951995521594073
"Primary completion rate, male (% of relevant age group)",63.15851745605469,63.15851745605468,63.15851745605468,5.84880480091244,0.1060281815223642,0.024489553219313898
"Primary completion rate, total (% of relevant age group)",57.56692174275715,57.56692174275715,57.56692174275715,6.366491752331498,0.02362580699472921,0.005230337024620098
"Primary education, duration (years)",5.0,5.0,5.0,0.0,0.0,
"Primary education, pupils",12654758.57142857,12654758.57142857,12654758.57142857,31203116455122.676,1402413.4019421581,0.14023944365553973
"Primary education, pupils (% female)",36.834266666666664,36.83426666666666,36.83426666666666,23.640404178921692,1.0170959019663044,0.11684969108527755
"Primary education, teachers",307363.4285714286,307363.4285714286,307363.4285714286,15186620312.163263,13035.271419589417,0.05908573246769847
"Primary education, teachers (% female)",40.67970869859586,40.67970869859586,40.67970869859586,54.00789020011312,1.5451038756200026,0.1174416620096729
Primary school age children out-of-school (%),31.8108367919921,31.8108367919921,31.8108367919921,0.0,0.0,
Primary school starting age (years),5.0,5.0,5.0,0.0,0.0,
Progression to secondary school (%),78.12777,78.12777,78.12777,4.2143787331047635,-0.4323099408587274,-0.11763093636054468
"Progression to secondary school, female (%)",78.16509666666664,78.16509666666666,78.16509666666666,4.108401035575664,-0.3215437583449711,-0.08861286566046704
"Progression to secondary school, male (%)",78.14814333333334,78.14814333333334,78.14814333333334,4.737282331185189,-0.504881967110581,-0.1295741408297851
Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,70.0,70.0,70.0,0.0,0.0,
"Pupil-teacher ratio, lower secondary",19.827058,19.827058,19.827058,1.9702625200692059,-0.7279315538952389,-0.28968206663553686
"Pupil-teacher ratio, preprimary",,,,,,
"Pupil-teacher ratio, primary",39.67359846153846,39.67359846153846,39.67359846153846,6.8220964385667875,1.9902819884065404,0.42564623707548754
"Pupil-teacher ratio, secondary",19.766895,19.766895,19.766895,2.5065309814801586,-0.12171531311078196,-0.04294393086094394
"Pupil-teacher ratio, tertiary",33.34073428571429,33.340734285714284,33.340734285714284,2.4427643882947847,-0.029893179753408165,-0.010683767698705405
"Pupil-teacher ratio, upper secondary",27.64407272727272,27.644072727272725,27.644072727272725,0.9216182626415585,0.3564357736647918,0.20739527712717912
"Repeaters, primary, female (% of female enrollment)",2.9543378571428573,2.9543378571428573,2.9543378571428573,0.23092465431802717,0.008366667934920267,0.009725467666077908
"Repeaters, primary, male (% of male enrollment)",3.3012828571428576,3.3012828571428576,3.3012828571428576,0.3174254792965986,0.004689045309523217,0.004648968998042781
"Repeaters, primary, total (% of total enrollment)",3.1501071428571428,3.1501071428571428,3.1501071428571428,0.27606955790294785,0.006341943520634564,0.006742271283973964
"School enrollment, preprimary (% gross)",65.79158441643968,65.79158441643968,65.79158441643968,69.3875783665589,7.633993928515196,0.5119223108472748
"School enrollment, preprimary, female (% gross)",61.172694356817956,61.17269435681795,61.17269435681795,64.78271620020682,6.962811059925291,0.48322361140870274
"School enrollment, preprimary, male (% gross)",70.08681728965357,70.08681728965357,70.08681728965357,76.04358565064653,8.255287752309615,0.5288031522527172
"School enrollment, primary (% gross)",62.566129870414855,62.566129870414855,62.566129870414855,104.22855987765932,3.209987065556206,0.1756317491862698
"School enrollment, primary (% net)",63.03346176470588,63.03346176470589,63.03346176470589,2.7046275576483643,2.661530107773948,0.904004852707718
"School enrollment, primary (gross), gender parity index (GPI)",0.6458259977400304,0.6458259977400302,0.6458259977400302,0.01942909271565826,0.03541260433484227,0.14191382950129672
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.6009032349376118,0.6009032349376118,0.6009032349376118,0.020088078292460388,0.04702406823234957,0.18532931285959953
